"Country","Gold","Silver","Bronze","Total","Latitude","Longitude","NumAthletes","NumAthletesPerMedal","NumAthletesPerGoldMedal"
"Bermuda",1,0,0,1,32.321384,-64.75737,2,"2",2
"Kosovo",2,0,0,2,42.602636,20.902977,10,"5",5
"Qatar",2,0,1,3,25.354826,51.183884,14,"4.67",7
"Bahamas",2,0,0,2,25.03428,-77.39628,16,"8",8
"Cuba",7,3,5,15,21.521757,-77.781167,69,"4.6",9.86
"People's Republic of China",38,32,18,88,35.86166,104.195397,401,"4.56",10.55
"Uganda",2,1,1,4,1.373333,32.290275,24,"6",12
"Bulgaria",3,1,2,6,42.733883,25.48583,41,"6.83",13.67
"Jamaica",4,1,4,9,18.109581,-77.297508,60,"6.67",15
"United States of America",39,41,33,113,37.09024,-95.712891,615,"5.44",15.77
"United Kingdom",22,21,22,65,55.378051,-3.435973,366,"5.63",16.64
"Slovenia",3,1,1,5,46.151241,14.995463,51,"10.2",17
"Georgia",2,5,1,8,42.315407,43.356892,35,"4.38",17.5
"Philippines",1,2,1,4,12.879721,121.774017,18,"4.5",18
"Croatia",3,3,2,8,45.1,15.2,57,"7.12",19
"Kenya",4,4,2,10,-0.023559,37.906193,78,"7.8",19.5
"Uzbekistan",3,0,2,5,41.377491,64.585262,63,"12.6",21
"Japan",27,14,17,58,36.204824,138.252924,586,"10.1",21.7
"Ecuador",2,1,0,3,-1.831239,-78.183406,46,"15.33",23
"Norway",4,2,2,8,60.472024,8.468946,92,"11.5",23
"Hungary",6,7,7,20,47.162494,19.503304,155,"7.75",25.83
"Indonesia",1,1,3,5,-0.789275,113.921327,26,"5.2",26
"Netherlands",10,12,14,36,52.132633,5.291266,274,"7.61",27.4
"Australia",17,7,22,46,-25.274398,133.775136,470,"10.22",27.65
"Serbia",3,1,5,9,44.016521,21.005859,83,"9.22",27.67
"Fiji",1,0,1,2,-16.578193,179.414413,28,"14",28
"New Zealand",7,6,7,20,-40.900557,174.885971,202,"10.1",28.86
"Latvia",1,0,1,2,56.879635,24.603189,29,"14.5",29
"Czech Republic",4,4,3,11,49.817492,15.472962,117,"10.64",29.25
"Estonia",1,0,1,2,58.595272,25.013607,33,"16.5",33
"Chinese Taipei",2,4,6,12,23.69781,120.960515,67,"5.58",33.5
"Denmark",3,4,4,11,56.26392,9.501785,103,"9.36",34.33
"Puerto Rico",1,0,0,1,18.220833,-66.590149,35,"35",35
"Italy",10,10,20,40,41.87194,12.56738,356,"8.9",35.6
"Greece",2,1,1,4,39.074208,21.824312,75,"18.75",37.5
"France",10,12,11,33,46.227638,2.213749,377,"11.42",37.7
"Slovakia",1,2,1,4,48.669026,19.699024,38,"9.5",38
"Switzerland",3,4,6,13,46.818188,8.227512,115,"8.85",38.33
"Thailand",1,0,1,2,15.870032,100.992541,39,"19.5",39
"Germany",10,11,16,37,51.165691,10.451526,400,"10.81",40
"Brazil",7,6,8,21,-14.235004,-51.92528,291,"13.86",41.57
"Belgium",3,1,3,7,50.503887,4.469936,125,"17.86",41.67
"Ethiopia",1,1,2,4,9.145,40.489673,42,"10.5",42
"Israel",2,0,2,4,31.046051,34.851612,85,"21.25",42.5
"Sweden",3,6,0,9,60.128161,18.643501,129,"14.33",43
"Venezuela",1,3,0,4,6.42375,-66.58973,43,"10.75",43
"Morocco",1,0,0,1,31.791702,-7.09262,48,"48",48
"Poland",4,5,5,14,51.919438,19.145136,195,"13.93",48.75
"Turkey",2,2,9,13,38.963745,35.243322,102,"7.85",51
"Canada",7,6,11,24,56.130366,-106.346771,368,"15.33",52.57
"Tunisia",1,1,0,2,33.886917,9.537499,57,"28.5",57
"Ireland",2,0,2,4,53.41291,-8.24389,116,"29",58
"Austria",1,1,5,7,47.516231,14.550072,72,"10.29",72
"Portugal",1,1,2,4,39.399872,-8.224454,85,"21.25",85
"Romania",1,3,0,4,45.943161,24.96676,99,"24.75",99
"Belarus",1,3,3,7,53.709807,27.953389,104,"14.86",104
"Spain",3,8,6,17,40.463667,-3.74922,324,"19.06",108
"India",1,2,4,7,20.593684,78.96288,117,"16.71",117
"Egypt",1,1,4,6,26.820553,30.802498,133,"22.17",133
"Ukraine",1,6,12,19,48.379433,31.16558,152,"8",152
"South Africa",1,2,0,3,-30.559482,22.937506,171,"57",171
