"Country","Rank","Gold","Silver","Bronze","Total","Rank.by.Total","Country.Code","Latitude","Longitude"
"United States of America",1,39,41,33,113,1,"US",37.09024,-95.712891
"People's Republic of China",2,38,32,18,88,2,"CN",35.86166,104.195397
"Japan",3,27,14,17,58,5,"JP",36.204824,138.252924
"Great Britain",4,22,21,22,65,4,"GB",55.378051,-3.435973
"Russian Olympic Committee",5,20,28,23,71,3,"RU",61.52401,105.318756
"Australia",6,17,7,22,46,6,"AU",-25.274398,133.775136
"Netherlands",7,10,12,14,36,9,"NL",52.132633,5.291266
"France",8,10,12,11,33,10,"FR",46.227638,2.213749
"Germany",9,10,11,16,37,8,"DE",51.165691,10.451526
"Italy",10,10,10,20,40,7,"IT",41.87194,12.56738
